Shipment ID,Sales Person,Geography,Product,Sales,Status,Delivered On,Date
1,Catherine Roberts,Germany,Headphones,250.54,Completed,9/14/2022,9/4/2022
2,Jeffrey Sims,Germany,Webcam,128.38,Completed,4/9/2024,3/30/2024
3,Gabriel Vasquez,Canada,Speaker,947.93,Completed,9/24/2023,9/22/2023
4,Debra Hughes,Japan,Mouse,429.34,Completed,7/31/2023,7/13/2023
5,Stacey Brown,Canada,Tablet,470.15,Completed,8/21/2023,8/19/2023
6,Michelle Garrett,Germany,Keyboard,389.01,Completed,8/19/2022,8/9/2022
7,Stacey Brown,Germany,Tablet,626.25,Completed,3/19/2024,3/9/2024
8,Justin Bowman,China,Keyboard,787.66,Active,NULL,2/3/2023
9,Candace Harris,Canada,Headphones,562.1,Completed,12/21/2023,12/19/2023
10,Laurie Figueroa,Japan,Smartphone,898.12,Completed,2/3/2023,1/16/2023
11,Candace Harris,India,Smartphone,566.63,Active,NULL,4/21/2023
12,Laurie Figueroa,Germany,Tablet,160.56,Active,NULL,7/19/2023
13,Brandon Richards,Australia,Headphones,331.93,Completed,7/15/2023,6/25/2023
14,Justin Bowman,Japan,Webcam,105.89,Completed,3/26/2024,3/8/2024
15,Jeffrey Rivera,China,Laptop,879.3,Completed,7/5/2023,6/20/2023
16,James Moore,France,Monitor,269.26,Completed,12/3/2022,11/27/2022
17,Stacey Brown,USA,Monitor,149.02,Active,NULL,5/11/2024
18,James Moore,Canada,Speaker,814.73,Completed,11/28/2022,11/26/2022
19,Catherine Roberts,Germany,Tablet,147.74,Active,NULL,10/9/2023
20,Gabriel Vasquez,India,Printer,210.08,Completed,7/29/2024,7/17/2024
21,Catherine Roberts,France,Smartphone,293.26,Completed,4/22/2023,4/16/2023
22,Kevin King,Canada,Headphones,868.76,Completed,7/24/2024,7/22/2024
23,Catherine Roberts,UK,Webcam,725.55,Completed,10/25/2022,10/17/2022
24,Catherine Roberts,Australia,Laptop,276.37,Completed,2/26/2024,2/6/2024
25,Cynthia Herman,Japan,Speaker,247.57,Completed,11/2/2022,10/15/2022
26,Brandon Richards,France,Mouse,842.71,Completed,2/13/2024,2/7/2024
27,Gabriel Vasquez,Australia,Smartphone,347.49,Completed,11/12/2023,10/23/2023
28,Jeffrey Sims,Australia,Mouse,896.82,Active,NULL,1/11/2024
29,Brandon Richards,Canada,Monitor,565.31,Completed,4/12/2023,4/10/2023
30,Jeffery Mills,Japan,Monitor,349.22,Completed,5/27/2024,5/9/2024
31,Kevin King,India,Printer,888.21,Completed,8/13/2024,8/1/2024
32,James Moore,UK,Tablet,620.18,Completed,5/26/2023,5/18/2023
33,Kevin King,Canada,Laptop,119.34,Active,NULL,12/10/2022
34,Justin Bowman,China,Keyboard,919.49,Active,NULL,4/5/2023
35,Jeffrey Rivera,Germany,Laptop,910.93,Completed,7/18/2024,7/8/2024
36,Michelle Garrett,Japan,Headphones,890.12,Completed,8/25/2023,8/7/2023
37,Jessica White,France,Tablet,590.13,Completed,8/9/2024,8/3/2024
38,Catherine Roberts,Brazil,Laptop,304.66,Completed,9/19/2022,9/15/2022
39,James Moore,USA,Tablet,718.37,Active,NULL,9/23/2022
